simbolo,ultimo_operado,variacion_diaria,cantidad_compra,precio_compra,precio_venta,cantidad_venta,maximo,minimo,ultimo_cierre,monto_operado,t._i._r.,duracion_(md)
AE38,84.3,"-0,01%",-,-,-,-,84.99,83.77,84.3,"3.007.729.356,00","0,00 %",0
AE38C,7025.0,"-0,02%",-,-,-,-,7069.0,6997.0,7025.0,38.9422,"0,00 %",0
AE38D,7112.0,"-0,19%",-,-,-,-,7149.0,7073.0,7112.0,"1.215.474,10","0,00 %",0
AL29,85.1,"0,17%",-,-,-,-,86.01,84.4,85.1,"2.694.413.002,70","0,00 %",0
AL29C,7117.0,"0,39%",-,-,-,-,7129.0,7083.0,7117.0,46.33407,"0,00 %",0
AL29D,7199.0,"0,19%",-,-,-,-,7212.0,7040.0,7199.0,504.27126,"0,00 %",0
AL30,80.09,"-0,54%",-,-,-,-,81.25,79.74,80.09,"99.434.437.993,30","0,00 %",0
AL30C,6710.0,"0,07%",-,-,-,-,6749.0,6661.0,6710.0,"23.722.441,79","0,00 %",0
AL30D,6763.0,"-0,35%",-,-,-,-,6800.0,6756.0,6763.0,"38.496.674,23","0,00 %",0
AL35,81.69,"0,03%",-,-,-,-,82.5,80.78,81.69,"3.584.944.977,10","0,00 %",0
AL35C,6796.0,"-0,14%",-,-,-,-,6839.0,6760.0,6796.0,13.05841,"0,00 %",0
AL35D,6890.0,"0,14%",-,-,-,-,6917.0,6751.0,6890.0,943.28344,"0,00 %",0
AL41,76.25,"0,09%",-,-,-,-,76.38,74.1,76.25,"715.760.286,10","0,00 %",0
AL41C,6345.0,"-0,62%",-,-,-,-,6388.0,6338.0,6345.0,1.30031,"0,00 %",0
AL41D,6440.0,"0,32%",-,-,-,-,6458.0,6277.0,6440.0,365.94079,"0,00 %",0
BA37D,77.92,"0,15%",-,-,-,-,79.69,76.56,77.92,"644.349.464,60","0,00 %",0
BA7DC,6476.0,"0,51%",-,-,-,-,6548.0,6419.0,6476.0,16.69357,"0,00 %",0
BA7DD,6588.0,"0,58%",-,-,-,-,6726.0,6504.0,6588.0,131.58116,"0,00 %",0
BAO25,4352.0,0%,-,-,-,-,0.0,0.0,4352.0,0,"0,00 %",0
BB37D,70.1,"-1,95%",-,-,-,-,73.48,69.7,70.1,"520.275.239,80","0,00 %",0
BB7DD,5925.0,"0,16%",-,-,-,-,6100.0,5900.0,5925.0,35.33917,"0,00 %",0
BC37D,69.0,"2,96%",-,-,-,-,70.0,66.65,69.0,"1.121.465,40","0,00 %",0
BDC28,11540.0,"-1,36%",-,-,-,-,11995.0,11400.0,11540.0,"3.023.239,00","0,00 %",0
BNA26,119.26,"0,08%",-,-,-,-,119.27,119.0,119.26,"5.598.585,90","0,00 %",0
BPA7C,9865.0,"0,20%",-,-,-,-,9945.0,9820.0,9865.0,368.41831,"0,00 %",0
BPA7D,10030.0,"0,24%",-,-,-,-,10065.0,9915.0,10030.0,"1.034.928,28","0,00 %",0
BPB7C,9640.0,"0,52%",-,-,-,-,9650.0,9505.0,9640.0,362.34562,"0,00 %",0
BPB7D,9794.0,"0,76%",-,-,-,-,9793.0,9600.0,9794.0,648.9797,"0,00 %",0
BPC7C,9270.0,"0,21%",-,-,-,-,9275.0,9226.0,9270.0,"2.272.207,77","0,00 %",0
BPC7D,9390.0,"0,21%",-,-,-,-,9449.0,9302.0,9370.0,"2.986.173,05","0,00 %",0
BPD7C,9270.0,"0,50%",-,-,-,-,9275.0,9216.0,9270.0,716.04062,"0,00 %",0
BPD7D,9376.0,"0,61%",-,-,-,-,9400.0,9252.0,9376.0,"2.015.488,62","0,00 %",0
BPJ25,30.89,"-7,79%",-,-,-,-,34.0,30.5,30.89,"6.843.376.290,00","0,00 %",0
BPJ5C,2596.0,"-2,20%",-,-,-,-,2725.0,2660.0,2596.0,70.13912,"0,00 %",0
BPJ5D,2658.0,"-3,43%",-,-,-,-,2752.0,2651.0,2658.0,15.19766,"0,00 %",0
BPOA7,117.5,"-0,84%",-,-,-,-,119.48,117.17,117.5,"2.020.543.358,00","0,00 %",0
BPOB7,115.45,"0,39%",-,-,-,-,120.0,114.2,115.45,"1.519.075.929,60","0,00 %",0
BPOC7,111.1,"-0,79%",-,-,-,-,111.99,109.63,111.1,"4.553.851.862,80","0,00 %",0
BPOD7,111.2,"0,45%",-,-,-,-,111.58,110.0,111.2,"4.658.245.212,40","0,00 %",0
BPY26,115.14,"-0,74%",-,-,-,-,117.02,113.63,115.14,"9.298.830.720,00","0,00 %",0
